LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,12,2,2,2700,86.5,100,1007,98.2
1,12,2,2,2700,86.5,100,1697,97.9
1,12,2,2,2700,86.5,100,2379,97.5
1,12,2,2,2700,86.5,100,3141,97.2
1,12,2,2,2700,86.5,100,3829,97.1
1,12,2,2,2700,86.5,100,4544,96.9
1,12,2,2,2700,86.5,100,5210,96.9
1,12,2,2,2700,86.5,100,6043,97.1
1,12,2,2,2700,86.5,100,6805,97
1,12,2,2,2700,86.5,100,7601,96.9
1,12,2,2,2700,86.5,100,8437,96.8
1,12,2,2,2700,86.5,100,9269,96.4
1,12,2,2,2700,86.5,100,10100,96.5
1,13,2,2,2700,86.5,100,0,100
1,13,2,2,2700,86.5,100,541,98.5
1,13,2,2,2700,86.5,100,1007,98.3
1,13,2,2,2700,86.5,100,1697,98
1,13,2,2,2700,86.5,100,2379,97.7
1,13,2,2,2700,86.5,100,3141,97.4
1,13,2,2,2700,86.5,100,3829,97.3
1,13,2,2,2700,86.5,100,4544,97.2
1,13,2,2,2700,86.5,100,5210,97
1,13,2,2,2700,86.5,100,6043,97.3
1,13,2,2,2700,86.5,100,6805,97.2
1,13,2,2,2700,86.5,100,7601,97.1
1,13,2,2,2700,86.5,100,8437,97
1,13,2,2,2700,86.5,100,9269,96.7
1,13,2,2,2700,86.5,100,10100,96.9
1,14,2,2,2700,86.5,100,0,100
1,14,2,2,2700,86.5,100,541,98.3
1,14,2,2,2700,86.5,100,1007,98.1
1,14,2,2,2700,86.5,100,1697,97.7
1,14,2,2,2700,86.5,100,2379,97.3
1,14,2,2,2700,86.5,100,3141,97
1,14,2,2,2700,86.5,100,3829,96.9
1,14,2,2,2700,86.5,100,4544,96.9
1,14,2,2,2700,86.5,100,5210,96.7
1,14,2,2,2700,86.5,100,6043,96.8
